,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
115,2018-2019,Southampton,9,12,17,45,65,39,479,155,20,4,11463,15930,72.0,193,75,3,420,3,3
116,2018-2019,Brighton,9,9,20,35,60,36,533,182,23,4,18808,23056,81.6,194,58,3,376,5,3
117,2018-2019,Cardiff City,10,4,24,34,69,34,436,148,22,1,12550,16974,73.9,177,80,4,433,5,3
118,2018-2019,Fulham,7,5,26,34,81,26,436,149,17,5,13847,18038,76.8,188,59,1,331,5,1
119,2018-2019,Huddersfield,3,7,28,22,76,16,473,144,12,4,13961,18261,76.5,195,73,1,409,4,4
120,2017-2018,Manchester City,32,4,2,106,27,100,589,223,30,4,20878,25193,82.9,225,57,0,383,6,0
121,2017-2018,Manchester Utd,25,6,7,68,28,81,462,153,15,3,13450,17962,74.9,218,57,0,339,3,1
122,2017-2018,Tottenham,23,8,7,74,36,77,377,110,4,5,11838,16372,72.3,163,54,0,413,3,5
123,2017-2018,Liverpool,21,12,5,84,38,75,378,126,16,0,10524,15340,68.6,167,65,0,350,5,1
124,2017-2018,Chelsea,21,7,10,62,38,70,603,210,20,3,18967,23101,82.1,230,46,0,363,2,2
125,2017-2018,Arsenal,19,6,13,74,51,63,466,134,20,8,11809,16114,73.3,210,72,0,425,2,2
126,2017-2018,Burnley,14,12,12,36,39,54,351,110,8,5,11953,16472,72.6,150,55,0,460,5,0
127,2017-2018,Everton,13,10,15,44,58,49,360,106,14,2,12036,16822,71.5,165,65,0,397,6,1
128,2017-2018,Leicester City,12,11,15,56,60,47,417,137,11,5,12357,17124,72.2,203,60,0,364,4,2
129,2017-2018,Newcastle Utd,12,8,18,39,47,44,635,226,22,2,20367,24900,81.8,230,44,0,344,6,0
130,2017-2018,Crystal Palace,11,11,16,45,55,44,656,254,30,6,26164,29961,87.3,284,63,0,344,2,2
131,2017-2018,Bournemouth,11,11,16,45,61,44,509,170,21,1,17765,21865,81.2,220,64,0,405,1,2
132,2017-2018,West Ham,10,12,16,48,68,42,450,146,21,0,11071,15659,70.7,167,54,0,409,6,3
