,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
1236,1964-1965,Everton,17,15,10,69,60,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1237,1964-1965,Nott'ham Forest,17,13,12,71,67,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1238,1964-1965,Tottenham,19,7,16,87,71,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1239,1964-1965,Liverpool,17,10,15,67,73,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1240,1964-1965,Sheffield Weds,16,11,15,57,55,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1241,1964-1965,West Ham,19,4,19,82,71,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1242,1964-1965,Blackburn,16,10,16,83,79,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1243,1964-1965,Stoke City,16,10,16,67,66,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1244,1964-1965,Burnley,16,10,16,70,70,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1245,1964-1965,Arsenal,17,7,18,69,75,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1246,1964-1965,West Brom,13,13,16,70,65,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1247,1964-1965,Sunderland,14,9,19,64,74,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1248,1964-1965,Aston Villa,16,5,21,57,82,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1249,1964-1965,Blackpool,12,11,19,67,78,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1250,1964-1965,Leicester City,11,13,18,69,85,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1251,1964-1965,Sheffield Utd,12,11,19,50,64,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1252,1964-1965,Fulham,11,12,19,60,78,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1253,1964-1965,Wolves,13,4,25,59,89,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1254,1964-1965,Birmingham City,8,11,23,64,96,27,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1255,1963-1964,Liverpool,26,5,11,92,45,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1256,1963-1964,Manchester Utd,23,7,12,90,62,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1257,1963-1964,Everton,21,10,11,84,64,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1258,1963-1964,Tottenham,22,7,13,97,81,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1259,1963-1964,Chelsea,20,10,12,72,56,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1260,1963-1964,Sheffield Weds,19,11,12,84,67,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1261,1963-1964,Blackburn,18,10,14,89,65,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1262,1963-1964,Arsenal,17,11,14,90,82,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1263,1963-1964,Burnley,17,10,15,71,64,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1264,1963-1964,West Brom,16,11,15,70,61,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1265,1963-1964,Leicester City,16,11,15,61,58,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1266,1963-1964,Sheffield Utd,16,11,15,61,64,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1267,1963-1964,Nott'ham Forest,16,9,17,64,68,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1268,1963-1964,West Ham,14,12,16,69,74,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1269,1963-1964,Fulham,13,13,16,58,65,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1270,1963-1964,Wolves,12,15,15,70,80,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1271,1963-1964,Stoke City,14,10,18,77,78,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1272,1963-1964,Blackpool,13,9,20,52,73,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1273,1963-1964,Aston Villa,11,12,19,62,71,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1274,1963-1964,Birmingham City,11,7,24,54,92,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1275,1963-1964,Bolton,10,8,24,48,80,28,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1276,1963-1964,Ipswich Town,9,7,26,56,121,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1277,1962-1963,Everton,25,11,6,84,42,61,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1278,1962-1963,Tottenham,23,9,10,111,62,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1279,1962-1963,Burnley,22,10,10,78,57,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1280,1962-1963,Leicester City,20,12,10,79,53,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1281,1962-1963,Wolves,20,10,12,93,65,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1282,1962-1963,Sheffield Weds,19,10,13,77,63,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1283,1962-1963,Arsenal,18,10,14,86,77,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1284,1962-1963,Liverpool,17,10,15,71,59,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1285,1962-1963,Nott'ham Forest,17,10,15,67,69,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1286,1962-1963,Sheffield Utd,16,12,14,58,60,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1287,1962-1963,Blackburn,15,12,15,79,71,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1288,1962-1963,West Ham,14,12,16,73,69,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1289,1962-1963,Blackpool,13,14,15,58,64,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1290,1962-1963,West Brom,16,7,19,71,79,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1291,1962-1963,Aston Villa,15,8,19,62,68,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1292,1962-1963,Fulham,14,10,18,50,71,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1293,1962-1963,Ipswich Town,12,11,19,59,78,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1294,1962-1963,Bolton,15,5,22,55,75,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1295,1962-1963,Manchester Utd,12,10,20,67,81,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1296,1962-1963,Birmingham City,10,13,19,63,90,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1297,1962-1963,Manchester City,10,11,21,58,102,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1298,1962-1963,Leyton Orient,6,9,27,37,81,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1299,1961-1962,Ipswich Town,24,8,10,93,67,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1300,1961-1962,Burnley,21,11,10,101,67,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1301,1961-1962,Tottenham,21,10,11,88,69,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1302,1961-1962,Everton,20,11,11,88,54,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1303,1961-1962,Sheffield Utd,19,9,14,61,69,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1304,1961-1962,Sheffield Weds,20,6,16,72,58,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1305,1961-1962,Aston Villa,18,8,16,65,56,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1306,1961-1962,West Ham,17,10,15,76,82,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1307,1961-1962,West Brom,15,13,14,83,67,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1308,1961-1962,Arsenal,16,11,15,71,72,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1309,1961-1962,Bolton,16,10,16,62,66,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1310,1961-1962,Manchester City,17,7,18,78,81,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1311,1961-1962,Blackpool,15,11,16,70,75,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1312,1961-1962,Leicester City,17,6,19,72,71,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1313,1961-1962,Manchester Utd,15,9,18,72,75,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1314,1961-1962,Blackburn,14,11,17,50,58,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1315,1961-1962,Birmingham City,14,10,18,65,81,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1316,1961-1962,Wolves,13,10,19,73,86,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1317,1961-1962,Nott'ham Forest,13,10,19,63,79,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1318,1961-1962,Fulham,13,7,22,66,74,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1319,1961-1962,Cardiff City,9,14,19,50,81,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1320,1961-1962,Chelsea,9,10,23,63,94,28,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1321,1960-1961,Tottenham,31,4,7,115,55,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1322,1960-1961,Sheffield Weds,23,12,7,78,47,58,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1323,1960-1961,Wolves,25,7,10,103,75,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1324,1960-1961,Burnley,22,7,13,102,77,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1325,1960-1961,Everton,22,6,14,87,69,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1326,1960-1961,Leicester City,18,9,15,87,70,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1327,1960-1961,Manchester Utd,18,9,15,88,76,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1328,1960-1961,Blackburn,15,13,14,77,76,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1329,1960-1961,Aston Villa,17,9,16,78,77,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1330,1960-1961,West Brom,18,5,19,67,71,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1331,1960-1961,Arsenal,15,11,16,77,85,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1332,1960-1961,Chelsea,15,7,20,98,100,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1333,1960-1961,Manchester City,13,11,18,79,90,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1334,1960-1961,Nott'ham Forest,14,9,19,62,78,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1335,1960-1961,Cardiff City,13,11,18,60,85,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1336,1960-1961,West Ham,13,10,19,77,88,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1337,1960-1961,Fulham,14,8,20,72,95,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1338,1960-1961,Bolton,12,11,19,58,73,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1339,1960-1961,Birmingham City,14,6,22,62,84,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1340,1960-1961,Blackpool,12,9,21,68,73,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1341,1960-1961,Newcastle Utd,11,10,21,86,109,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1342,1960-1961,Preston,10,10,22,43,71,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1343,1959-1960,Burnley,24,7,11,85,61,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1344,1959-1960,Wolves,24,6,12,106,67,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1345,1959-1960,Tottenham,21,11,10,86,50,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1346,1959-1960,West Brom,19,11,12,83,57,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1347,1959-1960,Sheffield Weds,19,11,12,80,59,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1348,1959-1960,Bolton,20,8,14,59,51,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1349,1959-1960,Manchester Utd,19,7,16,102,80,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1350,1959-1960,Newcastle Utd,18,8,16,82,78,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1351,1959-1960,Preston,16,12,14,79,76,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1352,1959-1960,Fulham,17,10,15,73,80,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1353,1959-1960,Blackpool,15,10,17,59,71,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1354,1959-1960,Leicester City,13,13,16,66,75,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1355,1959-1960,Arsenal,15,9,18,68,80,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1356,1959-1960,West Ham,16,6,20,75,91,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1357,1959-1960,Everton,13,11,18,73,78,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1358,1959-1960,Manchester City,17,3,22,78,84,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1359,1959-1960,Blackburn,16,5,21,60,70,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1360,1959-1960,Chelsea,14,9,19,76,91,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1361,1959-1960,Birmingham City,13,10,19,63,80,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1362,1959-1960,Nott'ham Forest,13,9,20,50,74,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1363,1959-1960,Leeds United,12,10,20,65,92,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1364,1959-1960,Luton Town,9,12,21,50,73,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1365,1958-1959,Wolves,28,5,9,110,49,61,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1366,1958-1959,Manchester Utd,24,7,11,103,66,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1367,1958-1959,Arsenal,21,8,13,88,68,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1368,1958-1959,Bolton,20,10,12,79,66,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1369,1958-1959,West Brom,18,13,11,88,68,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1370,1958-1959,West Ham,21,6,15,85,70,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1371,1958-1959,Burnley,19,10,13,81,70,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1372,1958-1959,Blackpool,18,11,13,66,49,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1373,1958-1959,Birmingham City,20,6,16,84,68,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1374,1958-1959,Blackburn,17,10,15,76,70,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1375,1958-1959,Newcastle Utd,17,7,18,80,80,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1376,1958-1959,Preston,17,7,18,70,77,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1377,1958-1959,Nott'ham Forest,17,6,19,71,74,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1378,1958-1959,Chelsea,18,4,20,77,98,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1379,1958-1959,Leeds United,15,9,18,57,74,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1380,1958-1959,Everton,17,4,21,71,87,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1381,1958-1959,Luton Town,12,13,17,68,71,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1382,1958-1959,Tottenham,13,10,19,85,95,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1383,1958-1959,Leicester City,11,10,21,67,98,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1384,1958-1959,Manchester City,11,9,22,64,95,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1385,1958-1959,Aston Villa,11,8,23,58,87,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1386,1958-1959,Portsmouth,6,9,27,64,112,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1387,1957-1958,Wolves,28,8,6,103,47,64,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1388,1957-1958,Preston,26,7,9,100,51,59,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1389,1957-1958,Tottenham,21,9,12,93,77,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1390,1957-1958,West Brom,18,14,10,92,70,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1391,1957-1958,Manchester City,22,5,15,104,100,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1392,1957-1958,Burnley,21,5,16,80,74,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1393,1957-1958,Blackpool,19,6,17,80,67,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1394,1957-1958,Luton Town,19,6,17,69,63,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1395,1957-1958,Manchester Utd,16,11,15,85,75,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1396,1957-1958,Nott'ham Forest,16,10,16,69,63,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1397,1957-1958,Chelsea,15,12,15,83,79,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1398,1957-1958,Arsenal,16,7,19,73,85,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1399,1957-1958,Birmingham City,14,11,17,76,89,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1400,1957-1958,Aston Villa,16,7,19,73,86,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1401,1957-1958,Bolton,14,10,18,65,87,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1402,1957-1958,Everton,13,11,18,65,75,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1403,1957-1958,Leeds United,14,9,19,51,63,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1404,1957-1958,Leicester City,14,5,23,91,112,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1405,1957-1958,Newcastle Utd,12,8,22,73,81,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1406,1957-1958,Portsmouth,12,8,22,73,88,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1407,1957-1958,Sunderland,10,12,20,54,97,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1408,1957-1958,Sheffield Weds,12,7,23,69,92,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1409,1956-1957,Manchester Utd,28,8,6,103,54,64,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1410,1956-1957,Tottenham,22,12,8,104,56,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1411,1956-1957,Preston,23,10,9,84,56,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1412,1956-1957,Blackpool,22,9,11,93,65,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1413,1956-1957,Arsenal,21,8,13,85,69,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1414,1956-1957,Wolves,20,8,14,94,70,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1415,1956-1957,Burnley,18,10,14,56,50,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1416,1956-1957,Leeds United,15,14,13,72,63,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1417,1956-1957,Bolton,16,12,14,65,65,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1418,1956-1957,Aston Villa,14,15,13,65,55,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1419,1956-1957,West Brom,14,14,14,59,61,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1420,1956-1957,Chelsea,13,13,16,73,73,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1421,1956-1957,Birmingham City,15,9,18,69,69,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1422,1956-1957,Sheffield Weds,16,6,20,82,88,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1423,1956-1957,Everton,14,10,18,61,79,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1424,1956-1957,Luton Town,14,9,19,58,76,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1425,1956-1957,Newcastle Utd,14,8,20,67,87,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1426,1956-1957,Manchester City,13,9,20,78,88,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1427,1956-1957,Portsmouth,10,13,19,62,92,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1428,1956-1957,Sunderland,12,8,22,67,88,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1429,1956-1957,Cardiff City,10,9,23,53,88,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1430,1956-1957,Charlton Ath,9,4,29,62,120,22,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1431,1955-1956,Manchester Utd,25,10,7,83,51,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1432,1955-1956,Blackpool,20,9,13,86,62,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1433,1955-1956,Wolves,20,9,13,89,65,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1434,1955-1956,Manchester City,18,10,14,82,69,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1435,1955-1956,Arsenal,18,10,14,60,61,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1436,1955-1956,Birmingham City,18,9,15,75,57,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1437,1955-1956,Burnley,18,8,16,64,54,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1438,1955-1956,Bolton,18,7,17,71,58,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1439,1955-1956,Sunderland,17,9,16,80,95,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1440,1955-1956,Luton Town,17,8,17,66,64,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1441,1955-1956,Newcastle Utd,17,7,18,85,70,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1442,1955-1956,Portsmouth,16,9,17,78,85,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1443,1955-1956,West Brom,18,5,19,58,70,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1444,1955-1956,Charlton Ath,17,6,19,75,81,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1445,1955-1956,Everton,15,10,17,55,69,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1446,1955-1956,Chelsea,14,11,17,64,77,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1447,1955-1956,Cardiff City,15,9,18,55,69,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1448,1955-1956,Tottenham,15,7,20,61,71,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1449,1955-1956,Preston,14,8,20,73,72,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1450,1955-1956,Aston Villa,11,13,18,52,69,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1451,1955-1956,Huddersfield,14,7,21,54,83,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1452,1955-1956,Sheffield Utd,12,9,21,63,77,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1453,1954-1955,Chelsea,20,12,10,81,57,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1454,1954-1955,Wolves,19,10,13,89,70,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1455,1954-1955,Portsmouth,18,12,12,74,62,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1456,1954-1955,Sunderland,15,18,9,64,54,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1457,1954-1955,Manchester Utd,20,7,15,84,74,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1458,1954-1955,Aston Villa,20,7,15,72,73,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1459,1954-1955,Manchester City,18,10,14,76,69,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1460,1954-1955,Newcastle Utd,17,9,16,89,77,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1461,1954-1955,Arsenal,17,9,16,69,63,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1462,1954-1955,Burnley,17,9,16,51,48,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1463,1954-1955,Everton,16,10,16,62,68,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1464,1954-1955,Huddersfield,14,13,15,63,68,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1465,1954-1955,Sheffield Utd,17,7,18,70,86,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1466,1954-1955,Preston,16,8,18,83,64,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1467,1954-1955,Charlton Ath,15,10,17,76,75,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1468,1954-1955,Tottenham,16,8,18,72,73,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1469,1954-1955,West Brom,16,8,18,76,96,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1470,1954-1955,Bolton,13,13,16,62,69,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1471,1954-1955,Blackpool,14,10,18,60,64,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1472,1954-1955,Cardiff City,13,11,18,62,76,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1473,1954-1955,Leicester City,12,11,19,74,86,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1474,1954-1955,Sheffield Weds,8,10,24,63,100,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1475,1953-1954,Wolves,25,7,10,96,56,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1476,1953-1954,West Brom,22,9,11,86,63,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1477,1953-1954,Huddersfield,20,11,11,78,61,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1478,1953-1954,Manchester Utd,18,12,12,73,58,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1479,1953-1954,Bolton,18,12,12,75,60,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1480,1953-1954,Blackpool,19,10,13,80,69,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1481,1953-1954,Burnley,21,4,17,78,67,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1482,1953-1954,Chelsea,16,12,14,74,68,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1483,1953-1954,Charlton Ath,19,6,17,75,77,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1484,1953-1954,Cardiff City,18,8,16,51,71,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1485,1953-1954,Preston,19,5,18,87,58,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1486,1953-1954,Arsenal,15,13,14,75,73,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
